ReviewID,Username,ReviewText,Likes
1,user1,"Absolutely loved this product! Exceeded my expectations.",543
2,user2,"Not what I expected. Very disappointing experience.",98
3,user3,"It was okay, nothing special but not bad either.",204
4,user4,"Fantastic quality and very useful. Highly recommend!",653
5,user5,"The item arrived damaged and customer service was no help.",76
6,user6,"Best purchase I've made in a while! Totally worth it.",789
7,user7,"Terrible experience. Wouldn't recommend it to anyone.",45
8,user8,"Works as advertised. No complaints here.",310
9,user9,"Top-notch! Quality is amazing for the price.",578
10,user10,"Very poor build quality. Broke after a few uses.",67
11,user11,"This is exactly what I needed. Super happy with it.",482
12,user12,"Meh, it's alright. Nothing great, nothing terrible.",150
13,user13,"Exceeded all my expectations! Amazing product.",754
14,user14,"Not satisfied. Didn't live up to the hype.",102
15,user15,"Perfect for my needs. Couldn't ask for more.",620
16,user16,"Average experience. It does the job, I suppose.",214
17,user17,"Amazing! I highly recommend it to everyone.",810
18,user18,"Wasn't worth the price at all.",81
19,user19,"Just what I needed! Great quality.",490
20,user20,"I've had better experiences. Not thrilled.",120
21,user21,"Fantastic product! Exceeded expectations.",689
22,user22,"Disappointing, wouldn't buy again.",94
23,user23,"Absolutely love it! Great purchase.",530
24,user24,"It does the job, nothing more to say.",180
25,user25,"Impressive quality and service.",602
26,user26,"Great value for money, would buy again!",642
27,user27,"Product was defective upon arrival.",59
28,user28,"Incredible! Perfect for what I needed.",717
29,user29,"Not the best experience, but not the worst.",165
30,user30,"Highly satisfied with this purchase!",570
31,user31,"Item was below expectations.",110
32,user32,"Couldn't be happier! Really impressed.",749
33,user33,"It’s just okay, nothing more.",187
34,user34,"Excellent quality, definitely recommend!",601
35,user35,"Very disappointed. The product stopped working.",70
36,user36,"Works well, meets expectations.",335
37,user37,"Beyond amazing! Totally in love with this.",720
38,user38,"Does the job but wouldn't repurchase.",125
39,user39,"Just perfect! Best purchase I've made.",845
40,user40,"Doesn’t work as expected. Wouldn't buy again.",95
41,user41,"Loving this product! Great for everyday use.",671
42,user42,"Neutral experience, nothing stood out.",205
43,user43,"Exceeded my expectations! Worth every penny.",789
44,user44,"Not worth the money.",88
45,user45,"Very happy with this purchase!",640
46,user46,"Fantastic product, will recommend!",735
47,user47,"Just what I needed, works perfectly.",584
48,user48,"Overall disappointed. Not a fan.",91
49,user49,"Thrilled with this! Highly recommend.",812
50,user50,"Does what it’s supposed to do, happy with it.",510
